PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
90319,20040819,20050818,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,20040929,,,,,1,2,90,9,95.96000,104.06000,100.33500,22357173,C,100.37000,100.36000,33603,1.9969,1,100.01000,70453,C,-0.003139,-0.003158,-0.001599,-0.001617,-0.003598
90319,20040820,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,88,9,100.50000,109.08000,108.31000,11445498,0.079484,108.31000,108.32000,33603,1.9969,1,101.48000,40183,0.079484,0.008171,0.008165,0.011319,0.011284,0.006525
90319,20040823,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,109.05000,113.48000,109.40000,9144922,0.010064,109.40000,109.43000,33603,1.9969,1,110.84000,36017,0.010064,-0.003444,-0.003525,-0.002831,-0.002875,-0.002431
90319,20040824,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,103.57000,111.60000,104.87000,7646024,-0.041408,104.95000,105.00000,33603,1.9969,1,111.30000,29879,-0.041408,0.000580,0.000568,0.000577,0.000562,0.000465
90319,20040825,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,87,9,103.88000,108.00000,106.00000,4603910,0.010775,105.83000,105.90000,33603,1.9969,1,104.96000,16282,0.010775,0.008004,0.007941,0.007774,0.007661,0.008000
90319,20040826,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,104.66000,107.95000,107.91000,3553568,0.018019,107.70000,107.78000,33603,1.9969,1,105.11000,12928,0.018019,-0.000350,-0.000371,-0.001207,-0.001232,0.000118
90319,20040827,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,86,9,105.69000,108.62000,106.15000,3134727,-0.016310,106.19000,106.24000,33603,1.9969,1,108.11000,10342,-0.016310,0.002978,0.002873,0.005450,0.005369,0.002425
90319,20040830,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,102.01000,105.49000,102.01000,2603100,-0.039001,102.01000,102.01000,33603,1.9969,1,105.49000,9498,-0.039001,-0.008130,-0.008236,-0.005770,-0.005864,-0.007781
90319,20040831,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,102.16000,103.71000,102.37000,2465827,0.003529,102.35000,102.37000,33603,1.9969,1,102.32000,8009,0.003529,0.005090,0.005065,0.005752,0.005741,0.004631
90319,20040901,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,99.67000,102.97000,100.25000,4603278,-0.020709,100.15000,100.21000,33603,1.9969,1,102.70000,12956,-0.020709,0.003415,0.003167,0.004554,0.004453,0.001512
90319,20040902,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,85,9,98.94000,102.37000,101.51000,7569213,0.012569,101.27000,101.35000,33603,1.9969,1,99.09000,17033,0.012569,0.010564,0.010553,0.008556,0.008530,0.011212
90319,20040903,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,99.32000,101.74000,100.01000,2579605,-0.014777,100.11000,100.12000,33603,1.9969,1,100.95000,7539,-0.014777,-0.004227,-0.004240,-0.003308,-0.003334,-0.004185
90319,20040907,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,99.61000,102.00000,101.58000,2930573,0.015698,101.49000,101.58000,33603,1.9969,1,101.01000,9492,0.015698,0.007449,0.007412,0.006984,0.006927,0.006887
90319,20040908,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,100.50000,103.03000,102.30000,2495226,0.007088,102.10000,102.21000,33603,1.9969,1,100.74000,7904,0.007088,-0.004534,-0.004701,-0.003547,-0.003699,-0.004486
90319,20040909,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,84,9,101.00000,102.71000,102.31000,2033153,0.000098,102.13000,102.18000,33603,1.9969,1,102.50000,6600,0.000098,0.003149,0.003136,0.007359,0.007334,0.001890
90319,20040910,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,83,9,101.30000,106.56000,105.33000,4353885,0.029518,105.24000,105.34000,33603,1.9969,1,101.60000,14945,0.029518,0.004984,0.004962,0.006192,0.006128,0.004954
90319,20040913,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,84,9,106.46000,108.41000,107.50000,3927622,0.020602,107.35000,107.40000,33603,1.9969,1,106.88000,13176,0.020602,0.003109,0.002842,0.005147,0.004861,0.001691
90319,20040914,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,83,9,106.79000,112.00000,111.49000,5489237,0.037116,111.30000,111.31000,33603,1.9969,1,107.68000,17141,0.037116,0.001931,0.001902,0.000419,0.000371,0.002229
90319,20040915,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,84,9,110.20000,114.23000,112.00000,5372576,0.004574,111.99000,111.92000,33603,1.9969,1,110.56000,20716,0.004574,-0.006368,-0.006402,-0.003611,-0.003685,-0.007055
90319,20040916,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,83,9,111.65000,115.80000,113.97000,4640336,0.017589,113.91000,113.88000,33603,1.9969,1,112.34000,18077,0.017589,0.004133,0.004104,0.006377,0.006294,0.002794
90319,20040917,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,113.55000,117.49000,117.49000,4750827,0.030885,117.48000,117.40000,33603,1.9969,1,114.42000,14841,0.030885,0.003348,0.003321,0.001165,0.001127,0.004495
90319,20040920,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,116.77000,121.60000,119.36000,5335510,0.015916,119.36000,119.40000,33603,1.9969,1,116.95000,21474,0.015916,-0.004637,-0.004641,-0.001893,-0.001904,-0.005627
90319,20040921,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,0,73,737,,,,,,,,,,,,1,2,82,9,117.51000,120.42000,117.84000,3618903,-0.012735,117.76000,117.80000,33603,1.9969,1,120.20000,14642,-0.012735,0.007498,0.007486,0.007471,0.007448,0.006327
90319,20040922,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,116.81000,119.67000,118.38000,3795393,0.004582,118.22000,118.35000,33603,1.9969,1,117.45000,14600,0.004582,-0.012931,-0.012958,-0.009903,-0.009982,-0.013938
90319,20040923,,11,3,7375,38259P50,GOOG,GOOGLE INC,A,GOOG,514191,Q,A,R,45483,44290,3,7375,02079K30,,,,,,,,,73,737,,,,,,,,,,,,,,,,117.02000,122.63000,120.82000,4311172,0.020612,120.81000,120.77000,33603,1.9969,1,118.84000,17312,0.020612,-0.003453,-0.003607,-0.000186,-0.000218,-0.004670
