PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret,TICKER
90319,20050217,126,-0.2570%,0.4733,0.0049,3.1354%,3.1498%,0.9142%,,GOOG
90319,20050218,127,0.0253%,0.4740,0.0049,3.1232%,3.1376%,0.9169%,0.0115%,GOOG
90319,20050222,128,-3.3241%,0.5670,0.0046,3.1229%,3.1444%,1.3586%,-2.6880%,GOOG
90319,20050223,129,1.3482%,0.5719,0.0046,3.1111%,3.1329%,1.3866%,1.0306%,GOOG
90319,20050224,130,-2.6089%,0.5223,0.0044,3.1148%,3.1330%,1.1597%,-3.1255%,GOOG
90319,20050225,131,-1.5988%,0.4812,0.0042,3.1107%,3.1263%,0.9951%,-2.1251%,GOOG
90319,20050228,132,1.1406%,0.4686,0.0043,3.1001%,3.1149%,0.9517%,1.4197%,GOOG
90319,20050301,133,-1.0267%,0.4532,0.0042,3.0920%,3.1059%,0.8923%,-1.3131%,GOOG
90319,20050302,134,-0.4730%,0.4547,0.0041,3.0813%,3.0952%,0.8980%,-0.4796%,GOOG
90319,20050303,135,0.9855%,0.4537,0.0042,3.0702%,3.0840%,0.8941%,0.9754%,GOOG
90319,20050304,136,-0.5909%,0.4336,0.0041,3.0612%,3.0739%,0.8252%,-1.0048%,GOOG
90319,20050307,137,1.5654%,0.4368,0.0041,3.0511%,3.0640%,0.8371%,1.4265%,GOOG
90319,20050308,138,-1.9120%,0.4605,0.0040,3.0453%,3.0596%,0.9328%,-1.7042%,GOOG
90319,20050309,139,-2.0788%,0.4980,0.0038,3.0392%,3.0561%,1.1067%,-1.6668%,GOOG
90319,20050310,140,-0.7555%,0.4994,0.0037,3.0298%,3.0468%,1.1119%,-0.7734%,GOOG
90319,20050311,141,-1.2112%,0.5138,0.0036,3.0210%,3.0390%,1.1824%,-0.9533%,GOOG
90319,20050314,142,-1.5804%,0.4931,0.0035,3.0163%,3.0329%,1.0913%,-1.9157%,GOOG
90319,20050315,143,2.0687%,0.4674,0.0036,3.0104%,3.0253%,0.9877%,2.3693%,GOOG
90319,20050316,144,-1.6852%,0.4931,0.0035,3.0030%,3.0198%,1.1111%,-1.3155%,GOOG
90319,20050317,145,2.1014%,0.4964,0.0036,2.9956%,3.0126%,1.1238%,1.9762%,GOOG
90319,20050318,146,0.4183%,0.4960,0.0036,2.9853%,3.0022%,1.1228%,0.4721%,GOOG
90319,20050321,147,0.4666%,0.4939,0.0036,2.9751%,2.9919%,1.1170%,0.6444%,GOOG
90319,20050322,148,-1.2605%,0.5130,0.0035,2.9666%,2.9849%,1.2221%,-0.8222%,GOOG
90319,20050323,149,0.2128%,0.5132,0.0035,2.9565%,2.9748%,1.2240%,0.2641%,GOOG
90319,20050324,150,0.1509%,0.5134,0.0035,2.9467%,2.9649%,1.2248%,0.1356%,GOOG
90319,20050328,151,1.2106%,0.5146,0.0036,2.9375%,2.9557%,1.2299%,1.1165%,GOOG
90319,20050329,152,-1.0197%,0.5286,0.0035,2.9287%,2.9482%,1.3138%,-0.5906%,GOOG
90319,20050330,153,0.4901%,0.5169,0.0035,2.9194%,2.9385%,1.2899%,-0.2299%,GOOG
90319,20050331,154,0.0332%,0.5172,0.0034,2.9100%,2.9290%,1.2914%,0.0232%,GOOG
90319,20050401,155,-0.2604%,0.5203,0.0034,2.9006%,2.9199%,1.3165%,0.0613%,GOOG
90319,20050404,156,2.9160%,0.5289,0.0036,2.8975%,2.9173%,1.3554%,2.7139%,GOOG
90319,20050405,157,1.7702%,0.5352,0.0036,2.8897%,2.9100%,1.3884%,1.5337%,GOOG
90319,20050406,158,0.3447%,0.5348,0.0036,2.8805%,2.9007%,1.3870%,0.2165%,GOOG
90319,20050407,159,2.3993%,0.5482,0.0037,2.8745%,2.8957%,1.4586%,2.0572%,GOOG
90319,20050408,160,-0.8825%,0.5595,0.0037,2.8661%,2.8884%,1.5385%,-0.4120%,GOOG
90319,20050411,161,0.6144%,0.5588,0.0037,2.8572%,2.8794%,1.5354%,0.6530%,GOOG
90319,20050412,162,0.3752%,0.5564,0.0037,2.8485%,2.8705%,1.5281%,0.0525%,GOOG
90319,20050413,163,-0.5285%,0.5607,0.0037,2.8397%,2.8626%,1.5895%,0.1431%,GOOG
90319,20050414,164,-0.7671%,0.5695,0.0036,2.8313%,2.8552%,1.6707%,-0.1600%,GOOG
90319,20050415,165,-3.3690%,0.6359,0.0034,2.8312%,2.8620%,2.1417%,-2.5246%,GOOG
90319,20050418,166,1.0649%,0.6378,0.0034,2.8229%,2.8538%,2.1555%,0.8652%,GOOG
90319,20050419,167,2.3694%,0.6527,0.0035,2.8168%,2.8493%,2.2668%,1.8554%,GOOG
90319,20050420,168,3.5005%,0.5778,0.0038,2.8245%,2.8505%,1.8124%,4.3181%,GOOG
90319,20050421,169,3.0893%,0.6151,0.0039,2.8186%,2.8492%,2.1346%,1.9623%,GOOG
90319,20050422,170,5.6753%,0.5519,0.0042,2.8430%,2.8676%,1.7036%,6.0232%,GOOG
90319,20050425,171,3.5772%,0.5809,0.0044,2.8414%,2.8687%,1.8933%,2.9942%,GOOG
90319,20050426,172,-2.1384%,0.6052,0.0042,2.8375%,2.8673%,2.0672%,-1.6584%,GOOG
90319,20050427,173,0.4709%,0.6047,0.0042,2.8293%,2.8590%,2.0658%,0.2785%,GOOG
90319,20050428,174,-0.1502%,0.6024,0.0042,2.8211%,2.8511%,2.0897%,0.5697%,GOOG
90319,20050429,175,0.2506%,0.5926,0.0042,2.8136%,2.8429%,2.0471%,-0.3830%,GOOG
90319,20050502,176,1.0409%,0.5944,0.0042,2.8057%,2.8351%,2.0644%,0.7173%,GOOG
90319,20050503,177,1.7545%,0.5931,0.0043,2.7995%,2.8287%,2.0533%,1.7522%,GOOG
90319,20050504,178,1.0213%,0.5905,0.0043,2.7916%,2.8210%,2.0723%,0.2509%,GOOG
90319,20050505,179,-0.6652%,0.5933,0.0042,2.7847%,2.8143%,2.0914%,-0.5662%,GOOG
90319,20050506,180,0.4582%,0.5932,0.0042,2.7770%,2.8065%,2.0912%,0.4640%,GOOG
90319,20050509,181,-0.8771%,0.5821,0.0041,2.7720%,2.8004%,2.0183%,-1.2529%,GOOG
90319,20050510,182,0.7875%,0.5699,0.0042,2.7653%,2.7928%,1.9615%,1.3762%,GOOG
90319,20050511,183,1.5320%,0.5734,0.0042,2.7584%,2.7862%,1.9870%,1.2878%,GOOG
90319,20050512,184,-1.1112%,0.5853,0.0042,2.7518%,2.7810%,2.0939%,-0.5406%,GOOG
90319,20050513,185,0.2274%,0.5847,0.0042,2.7443%,2.7735%,2.0967%,0.5095%,GOOG
