DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
20040102,-0.000784,-0.000859,0.006070,0.006048,-0.003094,1108.48,14568674400.00,6684,14580653300.00,6679
20040105,0.012269,0.012264,0.012936,0.012927,0.012395,1122.22,14747862600.00,6684,14568385300.00,6682
20040106,0.001951,0.001917,0.004868,0.004855,0.001292,1123.67,14776987700.00,6686,14747727400.00,6683
20040107,0.002716,0.002520,0.005653,0.005574,0.002367,1126.33,14814089100.00,6683,14776882900.00,6683
20040108,0.004865,0.004831,0.008348,0.008317,0.004963,1131.92,14885781300.00,6684,14814089100.00,6683
20040109,-0.006234,-0.006244,-0.000313,-0.000341,-0.008888,1121.86,14792959600.00,6684,14885773300.00,6683
20040112,0.005251,0.005229,0.008830,0.008809,0.004787,1127.23,14870349300.00,6684,14792959600.00,6684
20040113,-0.004591,-0.004654,-0.000546,-0.000738,-0.005332,1121.22,14801333400.00,6683,14870208200.00,6682
20040114,0.007248,0.007204,0.006933,0.006825,0.008295,1130.52,14908092000.00,6682,14801329900.00,6682
20040115,0.001138,0.001117,0.001466,0.001400,0.001353,1132.05,14924807500.00,6681,14908087200.00,6681
20040116,0.006970,0.006967,0.008029,0.008025,0.006872,1139.83,15028808300.00,6678,14924334200.00,6677
20040120,0.002584,0.002566,0.012299,0.012251,-0.000930,1138.77,15066945000.00,6677,15028373800.00,6676
20040121,0.005595,0.005537,0.002608,0.002564,0.007772,1147.62,15151850000.00,6678,15066945000.00,6677
20040122,-0.002894,-0.002924,-0.003088,-0.003121,-0.003207,1143.94,15104770200.00,6677,15148568800.00,6676
20040123,-0.001380,-0.001390,0.003266,0.003247,-0.002089,1141.55,15083662700.00,6679,15104752400.00,6676
20040126,0.010493,0.010492,0.007669,0.007654,0.012106,1155.37,15241981600.00,6678,15083234700.00,6678
20040127,-0.008574,-0.008578,-0.002394,-0.002399,-0.009798,1144.05,15111665200.00,6679,15241981600.00,6678
20040128,-0.014189,-0.014352,-0.013049,-0.013226,-0.013610,1128.48,14895679300.00,6681,15110402800.00,6676
20040129,0.001361,0.001158,-0.008374,-0.008430,0.004989,1134.11,14913115300.00,6680,14895316200.00,6678
20040130,-0.000614,-0.000621,0.003530,0.003517,-0.002628,1131.13,14913081600.00,6693,14913059500.00,6677
20040202,0.002927,0.002910,0.000397,0.000365,0.003651,1135.26,14955476600.00,6693,14912685300.00,6691
20040203,0.000126,0.000117,0.000035,0.000010,0.000678,1136.03,14961439400.00,6696,14955389700.00,6691
20040204,-0.009916,-0.010059,-0.014544,-0.014624,-0.008371,1126.52,14811333700.00,6696,14961432100.00,6695
20040205,0.002283,0.002250,0.001911,0.001839,0.001838,1128.59,14849375200.00,6701,14811333700.00,6696
20040206,0.014344,0.014297,0.016339,0.016299,0.012555,1142.76,15063024300.00,6702,14849195300.00,6698
20040209,-0.000402,-0.000548,0.004509,0.004477,-0.002581,1139.81,15054433000.00,6701,15062247700.00,6700
20040210,0.005805,0.005792,0.007230,0.007169,0.005027,1145.54,15142849500.00,6702,15054299100.00,6700
20040211,0.010254,0.009915,0.007439,0.007130,0.010667,1157.76,15288893600.00,6701,15138454000.00,6700
20040212,-0.004532,-0.004623,-0.002436,-0.002550,-0.004880,1152.11,15221165400.00,6703,15288743400.00,6697
20040213,-0.005320,-0.005384,-0.005332,-0.005352,-0.005468,1145.81,15138629400.00,6700,15220219300.00,6700
20040217,0.009798,0.009789,0.009204,0.009187,0.009757,1156.99,15286120000.00,6700,15136907700.00,6696
20040218,-0.004464,-0.004572,-0.003134,-0.003194,-0.004468,1151.82,15215099600.00,6698,15284817100.00,6698
20040219,-0.005332,-0.005366,-0.006904,-0.006940,-0.004133,1147.06,15133602400.00,6697,15214788500.00,6695
20040220,-0.003538,-0.003561,-0.005238,-0.005272,-0.002572,1144.11,15080314300.00,6698,15133592300.00,6696
20040223,-0.005033,-0.005062,-0.010800,-0.010816,-0.002727,1140.99,15005015200.00,6697,15079633800.00,6696
20040224,-0.000969,-0.000974,-0.002408,-0.002415,-0.001665,1139.09,14993126100.00,6697,15005004000.00,6696
20040225,0.005125,0.005003,0.006740,0.006608,0.004021,1143.67,15072555300.00,6700,14992703300.00,6693
20040226,0.002933,0.002706,0.006325,0.006239,0.001084,1144.91,15113308400.00,6699,15072502300.00,6699
20040227,0.001570,0.001561,0.005456,0.005453,0.000026,1144.94,15166342000.00,6697,15106338700.00,6697
20040301,0.010243,0.010203,0.012118,0.012041,0.009625,1155.96,15318991900.00,6692,15161704600.00,6692
20040302,-0.005624,-0.005637,-0.002248,-0.002260,-0.005934,1149.10,15232694500.00,6691,15318985600.00,6691
20040303,0.001209,0.001000,0.002227,0.002129,0.001688,1151.04,15248410100.00,6691,15232691300.00,6690
20040304,0.004571,0.004542,0.007842,0.007797,0.003336,1154.88,15318174800.00,6691,15248341400.00,6689
20040305,0.002974,0.002961,0.003454,0.003434,0.001723,1156.87,15364512500.00,6693,15318174800.00,6691
20040308,-0.008043,-0.008106,-0.006010,-0.006058,-0.008350,1147.21,15239934000.00,6689,15363994400.00,6688
20040309,-0.006631,-0.006665,-0.007299,-0.007324,-0.005779,1140.58,15138588800.00,6690,15239934000.00,6689
20040310,-0.015184,-0.015292,-0.014762,-0.014877,-0.014633,1123.89,14907756900.00,6691,15138567800.00,6689
20040311,-0.013977,-0.014269,-0.011873,-0.012200,-0.015224,1106.78,14695070900.00,6690,14907662000.00,6690
20040312,0.012795,0.012781,0.014299,0.014182,0.012460,1120.57,14883717400.00,6690,14695053300.00,6689
20040315,-0.015556,-0.015587,-0.016513,-0.016559,-0.014350,1104.49,14652640000.00,6691,14883501900.00,6689
20040316,0.004603,0.004577,-0.001220,-0.001249,0.005623,1110.70,14720771300.00,6692,14652275800.00,6690
