date,mktrf,smb,hml,rf,umd
20040102,-0.001700,0.008200,0.004300,0.00003,0.000200
20040105,0.012000,0.004200,0.000100,0.00003,0.005400
20040106,0.002000,0.000700,0.002300,0.00003,0.006900
20040107,0.003400,0.005800,-0.000800,0.00003,0.004600
20040108,0.004500,0.003100,0.007000,0.00003,0.003000
20040109,-0.007200,-0.000200,0.002900,0.00003,0.004100
20040112,0.005700,0.009200,0.001300,0.00003,0.003700
20040113,-0.005100,0.001800,0.000900,0.00003,-0.000300
20040114,0.008000,-0.000700,0.004600,0.00003,0.001800
20040115,0.001500,0.000100,-0.003100,0.00003,0.001000
20040116,0.007200,0.000700,0.006000,0.00003,0.010400
20040120,0.001500,0.011600,0.006000,0.00003,0.001800
20040121,0.006400,-0.010800,0.003200,0.00003,-0.007400
20040122,-0.003200,-0.005600,-0.000500,0.00003,-0.001700
20040123,-0.001400,0.008900,-0.001100,0.00003,-0.005100
20040126,0.011200,-0.001000,-0.002900,0.00003,0.004600
20040127,-0.009600,-0.000300,0.000100,0.00003,-0.003700
20040128,-0.014400,-0.003400,-0.003900,0.00003,-0.007200
20040129,0.002500,-0.009900,-0.007600,0.00003,-0.012400
20040130,-0.001500,0.002200,0.004700,0.00003,0.005800
20040202,0.002700,-0.003400,-0.001400,0.00003,-0.005500
20040203,0.000000,-0.001600,-0.000300,0.00003,0.000200
20040204,-0.009700,-0.015200,-0.005900,0.00003,-0.015100
20040205,0.002300,0.004900,0.001800,0.00003,0.001500
20040206,0.013900,0.010300,0.004000,0.00003,0.016200
20040209,-0.001000,0.003300,0.002700,0.00003,0.000300
20040210,0.005600,0.005500,0.001600,0.00003,-0.001900
20040211,0.010400,-0.004000,0.001400,0.00003,0.005900
20040212,-0.004600,-0.001000,-0.001700,0.00003,-0.001600
20040213,-0.005700,-0.007300,-0.001400,0.00003,-0.004900
20040217,0.009800,0.003400,0.005900,0.00003,0.004300
20040218,-0.003900,-0.001100,0.000800,0.00003,-0.000800
20040219,-0.005400,-0.009900,-0.001400,0.00003,-0.008100
20040220,-0.003000,-0.001100,-0.003000,0.00003,-0.007500
20040223,-0.005100,-0.011800,-0.001800,0.00003,-0.013500
20040224,-0.001400,0.003200,-0.002000,0.00003,-0.004400
20040225,0.005400,0.005000,0.002000,0.00003,0.009800
20040226,0.002900,0.004500,0.004200,0.00003,0.006800
20040227,0.001100,0.001900,0.003200,0.00003,0.002900
20040301,0.010200,0.005100,0.002900,0.00004,0.005400
20040302,-0.005900,-0.000900,0.001200,0.00004,-0.002000
20040303,0.001400,-0.002000,-0.001200,0.00004,-0.003100
20040304,0.004400,0.007600,0.002900,0.00004,0.007700
20040305,0.002400,-0.001000,-0.002300,0.00004,-0.001400
